,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
148,081660,KR7081660003,휠라홀딩스,KOSPI,,33550,1,500,1.51,33350,33750,33050,162295,5425564550,2038237048100,60752222,STK
149,079550,KR7079550000,LIG넥스원,KOSPI,,91500,2,-1000,-1.08,92700,93200,91200,174757,16070072500,2013000000000,22000000,STK
150,004370,KR7004370003,농심,KOSPI,,330000,1,1500,0.46,328500,332000,325500,13400,4427407000,2007271860000,6082642,STK
151,005385,KR7005381009,현대차우,KOSPI,,82200,2,-1600,-1.91,83500,83600,82200,55035,4548872084,2002119507000,24356685,STK
152,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,38350,1,1700,4.64,37650,39100,37450,856426,32787106350,1975739077000,51518620,KSQ
153,041510,KR7041510009,에스엠,KOSDAQ,우량기업부,81700,1,2400,3.03,80300,82400,80000,427831,34904025800,1944561389700,23801241,KSQ
154,005070,KR7005070008,코스모신소재,KOSPI,,62800,2,-400,-0.63,64300,64700,62800,427898,27232312500,1924867476800,30650756,STK
155,001570,KR7001570001,금양,KOSPI,,32050,1,2900,9.95,29550,34600,29150,13784862,444134038850,1860503685850,58050037,STK
156,000080,KR7000080002,하이트진로,KOSPI,,26350,1,200,0.76,26300,26550,26250,167681,4420779850,1848020649850,70133611,STK
157,016710,KR7016710006,대성홀딩스,KOSPI,,114500,1,1500,1.33,112500,114500,112500,53988,6124228000,1842243055500,16089459,STK
158,007310,KR7007310006,오뚜기,KOSPI,,450000,1,4500,1.01,448000,453500,446500,2631,1184403000,1803523500000,4007830,STK
159,035760,KR7035760008,CJ ENM,KOSDAQ GLOBAL,우량기업부,82200,2,-1600,-1.91,84700,87500,81600,368167,30906413100,1802576458800,21929154,KSQ
160,393890,KR7393890009,더블유씨피,KOSDAQ,기술성장기업부,52900,2,-200,-0.38,53800,55200,52500,180389,9680957200,1782545802200,33696518,KSQ
161,069620,KR7069620003,대웅제약,KOSPI,,153500,1,6000,4.07,153000,160000,149000,133867,20671915000,1778539262500,11586575,STK
162,298050,KR7298050006,효성첨단소재,KOSPI,,390000,2,-3500,-0.89,400000,401000,390000,22438,8842114000,1747179720000,4479948,STK
163,005290,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,33850,1,1000,3.04,33950,34950,33100,1380955,47142968400,1740380621900,51414494,KSQ
164,357780,KR7357780006,솔브레인,KOSDAQ,중견기업부,220400,1,7300,3.43,216100,225500,216100,33015,7306411000,1714395946400,7778566,KSQ
165,010120,KR7010120004,LS ELECTRIC,KOSPI,,56600,2,-1100,-1.91,58300,58300,56300,152030,8637857900,1698000000000,30000000,STK
166,048260,KR7048260004,오스템임플란트,KOSDAQ,투자주의환기종목(소속부없음),114300,1,3100,2.79,112500,114500,110800,140506,15921229500,1694740273200,14827124,KSQ
167,175330,KR7175330000,JB금융지주,KOSPI,,8430,1,10,0.12,8460,8490,8370,358821,3025709550,1660565796420,196982894,STK
168,011210,KR7011210002,현대위아,KOSPI,,60500,1,700,1.17,60700,61100,60100,96627,5841351000,1645302521500,27195083,STK
169,042670,KR7042670000,현대두산인프라코어,KOSPI,,8280,2,-10,-0.12,8400,8420,8130,3268558,27144752790,1637481043080,197763411,STK
170,001120,KR7001120005,LX인터내셔널,KOSPI,,41900,1,700,1.7,41400,42850,41100,332025,13983901950,1624044000000,38760000,STK
171,004800,KR7004800009,효성,KOSPI,,76600,1,100,0.13,77000,77100,76200,38180,2923764200,1614040515000,21071025,STK
172,375500,KR7375500006,DL이앤씨,KOSPI,,41650,2,-200,-0.48,42000,42500,41500,171824,7224002150,1611589397950,38693623,STK
173,004000,KR7004000006,롯데정밀화학,KOSPI,,62100,2,-400,-0.64,62900,63500,62100,70356,4405949200,1602180000000,25800000,STK
174,034230,KR7034230003,파라다이스,KOSDAQ,중견기업부,17250,1,50,0.29,17400,17600,17050,1354772,23467479250,1568761092000,90942672,KSQ
175,051600,KR7051600005,한전KPS,KOSPI,,34850,1,350,1.01,34800,35200,34600,124496,4338369450,1568250000000,45000000,STK
176,096530,KR7096530001,씨젠,KOSDAQ,우량기업부,29750,2,-650,-2.14,30800,30900,29600,745749,22530768450,1553723321500,52225994,KSQ
177,298020,KR7298020009,효성티앤씨,KOSPI,,356500,2,-500,-0.14,362500,366000,356000,18152,6524414000,1542818633000,4327682,STK
178,004690,KR7004690004,삼천리,KOSPI,,380000,2,-500,-0.13,385500,389000,377000,44383,16909912000,1540909500000,4055025,STK
179,000150,KR7000150003,두산,KOSPI,,92600,2,-4700,-4.83,98400,98400,91500,240011,22613733000,1530107121000,16523835,STK
180,285130,KR7285130001,SK케미칼,KOSPI,,88500,2,-300,-0.34,90100,90700,88400,221366,19787949100,1526959795500,17253783,STK
181,006280,KR7006280002,녹십자,KOSPI,,129000,3,0,0.0,131500,133000,129000,53883,7044055500,1507563402000,11686538,STK
182,365340,KR7365340009,성일하이텍,KOSDAQ,기술성장기업부,124200,1,800,0.65,126100,126200,124000,118018,14759809800,1481124619800,11925319,KSQ
183,014820,KR7014820005,동원시스템즈,KOSPI,,50500,2,-200,-0.39,51600,51900,50300,26326,1340591300,1464059741000,28991282,STK
184,003620,KR7003620002,쌍용차,KOSPI,,8760,0,0,0.0,0,0,0,0,0,1462534770240,166956024,STK
185,005300,KR7005300009,롯데칠성,KOSPI,,157500,1,500,0.32,157500,159000,155500,29545,4645796000,1461424230000,9278884,STK
186,237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,벤처기업부,77400,1,1000,1.31,78000,79000,76600,64813,5040201000,1455799185000,18808775,KSQ
187,000210,KR7000210005,DL,KOSPI,,69300,1,500,0.73,69500,70000,68800,56111,3892566700,1452242761200,20955884,STK
188,078600,KR7078600004,대주전자재료,KOSDAQ,우량기업부,93200,1,3300,3.67,91600,93400,91300,183100,16977056400,1442791267600,15480593,KSQ
189,145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,116400,1,2100,1.84,118100,118800,115700,42181,4948420700,1441666962000,12385455,KSQ
190,108320,KR7108320003,LX세미콘,KOSPI,,88400,1,700,0.8,89900,90000,88300,99214,8821932900,1437764120000,16264300,STK
191,267260,KR7267260008,현대일렉트릭,KOSPI,,39700,2,-2350,-5.59,42100,42150,39400,700780,28016068000,1431071259500,36047135,STK
192,069960,KR7069960003,현대백화점,KOSPI,,60600,1,300,0.5,60600,61100,60300,67739,4116599900,1418187924600,23402441,STK
193,240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,28850,1,550,1.94,29000,29350,28600,176827,5133363900,1416070543850,49083901,KSQ
194,056190,KR7056190002,에스에프에이,KOSDAQ GLOBAL,우량기업부,39350,2,-650,-1.63,40350,40600,39300,83879,3353035100,1413009706000,35908760,KSQ
195,000670,KR7000670000,영풍,KOSPI,,760000,2,-5000,-0.65,775000,777000,754000,6574,5029868000,1399950400000,1842040,STK
196,000240,KR7000240002,한국앤컴퍼니,KOSPI,,14250,2,-100,-0.7,14400,14500,14100,87404,1250067800,1352827170000,94935240,STK
